Tempo (s),Tensão (V),Corrente (A)
0.0,8.0,0.0016
0.001,7.841589386454042,0.0015683178772908084
0.002,7.686315513218585,0.0015372631026437172
0.003,7.53411626867399,0.001506823253734798
0.004,7.384930771093086,0.0014769861542186173
0.005,7.238699344287677,0.0014477398688575354
0.006,7.09536349373726,0.001419072698747452
0.007,6.954865883190447,0.0013909731766380893
0.008,6.817150311729691,0.0013634300623459382
0.009000000000000001,6.682161691290176,0.0013364323382580353
0.01,6.549846024623855,0.001309969204924771
0.011,6.420150383699828,0.0012840300767399658
0.012,6.293022888532428,0.0012586045777064857
0.013000000000000001,6.16841268642853,0.001233682537285706
0.014,6.046269931645804,0.001209253986329161
0.015,5.926545765453743,0.0011853091530907487
0.016,5.8091922965895275,0.0011618384593179056
0.017,5.694162582100877,0.0011388325164201755
0.018000000000000002,5.581410608568248,0.0011162821217136497
0.019,5.4708912736988475,0.0010941782547397695
0.02,5.362560368285115,0.001072512073657023
0.021,5.256374558520454,0.0010512749117040907
0.022,5.152291368665131,0.0010304582737330262
0.023,5.050269164055408,0.0010100538328110815
0.024,4.950267134449127,0.0009900534268898254
0.025,4.852245277701067,0.0009704490555402136
0.026000000000000002,4.756164383761555,0.000951232876752311
0.027,4.661986018991918,0.0009323972037983836
0.028,4.569672510790519,0.0009139345021581039
0.029,4.479186932523216,0.0008958373865046433
0.03,4.390493088752211,0.0008780986177504423
0.031,4.303555500757396,0.0008607111001514792
0.032,4.218339392344388,0.0008436678784688777
0.033,4.134810675933593,0.0008269621351867187
0.034,4.052935938924716,0.0008105871877849433
0.035,3.9726824303312758,0.0007945364860662552
0.036000000000000004,3.894018047679773,0.0007788036095359546
0.037,3.8169113241682755,0.0007633822648336552
0.038,3.7413314160792743,0.0007482662832158549
0.039,3.6672480904417886,0.0007334496180883578
0.04,3.594631712937773,0.0007189263425875546
0.041,3.5234532360479944,0.000704690647209599
0.042,3.453684187432638,0.0006907368374865276
0.043000000000000003,3.3852966585419906,0.0006770593317083982
0.044,3.3182632934526515,0.0006636526586905303
0.045,3.2525572779247933,0.0006505114555849587
0.046,3.1881523286761135,0.0006376304657352228
0.047,3.125022682868169,0.0006250045365736338
0.048,3.0631430878008965,0.0006126286175601794
0.049,3.0024887908111966,0.0006004977581622393
0.05,2.9430355293715387,0.0005886071058743078
0.051000000000000004,2.8847595213846264,0.0005769519042769253
0.052000000000000005,2.8276374556702413,0.0005655274911340483
0.053,2.77164648264046,0.000554329296528092
0.054,2.716764205159514,0.0005433528410319027
0.055,2.662968669584637,0.0005325937339169274
0.056,2.610238356984316,0.0005220476713968632
0.057,2.5585521745304316,0.0005117104349060864
0.058,2.5078894470608426,0.0005015778894121685
0.059000000000000004,2.45822990880905,0.0004916459817618101
0.06,2.409553695297617,0.00048191073905952343
0.061,2.3618413353921137,0.0004723682670784228
0.062,2.315073743512405,0.000463014748702481
0.063,2.269232211998163,0.00045384644239963265
0.064,2.224298403625553,0.00044485968072511064
0.065,2.1802543442721007,0.00043605086885442016
0.066,2.1370824157268027,0.00042741648314536054
0.067,2.094765348642608,0.0004189530697285216
0.068,2.053286215628447,0.00041065724312568943
0.069,2.0126284244780517,0.00040252568489561037
0.07,1.9727757115328515,0.00039455514230657033
0.07100000000000001,1.9337121351762914,0.0003867424270352583
0.07200000000000001,1.8954220694569737,0.00037908441389139475
0.073,1.857890197838071,0.0003715780395676142
0.074,1.8211015070705023,0.0003642203014141005
0.075,1.785041281187439,0.0003570082562374878
0.076,1.7496950956177184,0.0003499390191235437
0.077,1.715048811415824,0.00034300976228316484
0.078,1.6810885696061182,0.00033621771392122366
0.079,1.647800785639068,0.0003295601571278136
0.08,1.6151721439572435,0.00032303442879144873
0.081,1.5831895926689177,0.0003166379185337836
0.082,1.5518403383271353,0.0003103680676654271
0.083,1.5211118408121644,0.00030422236816243293
0.084,1.4909918083152798,0.00029819836166305596
0.085,1.4614681924218773,0.00029229363848437545
0.08600000000000001,1.4325291832919458,0.00028650583665838916
0.08700000000000001,1.404163204935975,0.000280832640987195
0.088,1.3763589105844045,0.0002752717821168809
0.089,1.3491051781487644,0.0002698210356297529
0.09,1.3223911057726925,0.0002644782211545385
0.091,1.2962060074710464,0.0002592412014942093
0.092,1.2705394088553656,0.00025410788177107315
0.093,1.2453810429439787,0.00024907620858879574
0.094,1.2207208460550711,0.00024414416921101424
0.095,1.1965489537810805,0.00023930979075621612
0.096,1.1728556970428012,0.00023457113940856026
0.097,1.1496315982216234,0.0002299263196443247
0.098,1.12686736736836,0.000225373473473672
0.099,1.1045538984871426,0.00022091077969742853
0.1,1.0826822658929016,0.00021653645317858033
0.101,1.0612437206409737,0.00021224874412819475
0.10200000000000001,1.0402296870274073,0.00020804593740548146
0.10300000000000001,1.019631759158566,0.0002039263518317132
0.10400000000000001,0.9994416975886593,0.00019988833951773186
0.105,0.9796514260238556,0.00019593028520477113
0.106,0.9602530280916542,0.00019205060561833085
0.107,0.9412387441742339,0.00018824774883484678
0.108,0.9226009683045004,0.0001845201936609001
0.109,0.9043322451235991,0.00018086644902471982
0.11,0.8864252668986713,0.00017728505337973426
0.111,0.8688728705996641,0.00017377457411993282
0.112,0.8516680350340228,0.00017033360700680457
0.113,0.8348038780381203,0.00016696077560762407
0.114,0.8182736537242998,0.00016365473074485997
0.115,0.80207074978243,0.000160414149956486
0.116,0.7861886848348923,0.00015723773696697848
0.117,0.7706211058439443,0.00015412422116878885
0.11800000000000001,0.7553617855704188,0.00015107235711408375
0.11900000000000001,0.7404046200827463,0.00014808092401654926
0.12,0.7257436263153001,0.00014514872526306003
0.121,0.7113729396750907,0.00014227458793501815
0.122,0.6972868116958504,0.0001394573623391701
0.123,0.6834796077385699,0.00013669592154771397
0.124,0.6699458047375677,0.00013398916094751356
0.125,0.6566799889911904,0.00013133599779823808
0.126,0.6436768539962595,0.00012873537079925192
0.127,0.6309311983253996,0.0001261862396650799
0.128,0.6184379235463979,0.0001236875847092796
0.129,0.6061920321827639,0.00012123840643655278
0.13,0.594188625714671,0.00011883772514293421
0.131,0.5824229026194847,0.00011648458052389694
0.132,0.5708901564510884,0.0001141780312902177
0.133,0.5595857739572428,0.00011191715479144857
0.134,0.5485052332342233,0.00010970104664684466
0.135,0.537644101917998,0.00010752882038359961
0.136,0.5269980354112236,0.00010539960708224472
0.137,0.5165627751453478,0.00010331255502906956
0.138,0.5063341468771256,0.00010126682937542514
0.139,0.4963080590188663,9.926161180377328e-05
0.14,0.4864805010017436,9.729610020034872e-05
0.14100000000000001,0.4768475416715147,9.536950833430294e-05
0.14200000000000002,0.4674053277160064,9.348106554320129e-05
0.14300000000000002,0.45815008212373864,9.163001642474774e-05
0.14400000000000002,0.44907810267306963,8.981562053461393e-05
0.145,0.44018576045125807,8.803715209025162e-05
0.146,0.4314694984028484,8.629389968056968e-05
0.147,0.4229258299068031,8.458516598136063e-05
0.148,0.4145513373818069,8.291026747636138e-05
0.149,0.4063426709191882,8.126853418383763e-05
0.15,0.3982965469429117,7.965930938858234e-05
0.151,0.39040974689610386,7.808194937922077e-05
0.152,0.3826791159535871,7.653582319071743e-05
0.153,0.37510156175990805,7.502031235198161e-05
0.154,0.3676740531923538,7.353481063847077e-05
0.155,0.3603936191484626,7.207872382969252e-05
0.156,0.35325734735754305,7.065146947150861e-05
0.157,0.34626238321572733,6.925247664314547e-05
0.158,0.3394059286440912,6.788118572881824e-05
0.159,0.33268524096938545,6.653704819387709e-05
0.16,0.3260976318269298,6.521952636538596e-05
0.161,0.31964046608523133,6.392809321704627e-05
0.162,0.31331116079189664,6.266223215837933e-05
0.163,0.3071071841404166,6.142143682808333e-05
0.164,0.30102605445740976,6.0205210891481955e-05
0.165,0.2950653392099201,5.901306784198402e-05
0.166,0.2892226540323714,5.7844530806474286e-05
0.167,0.2834956617727891,5.669913235455783e-05
0.168,0.2778820715579085,5.5576414311581704e-05
0.169,0.27237963787679476,5.447592757535895e-05
0.17,0.26698615968260864,5.339723193652173e-05
0.171,0.26169947951215855,5.233989590243171e-05
0.17200000000000001,0.25651748262288615,5.130349652457723e-05
0.17300000000000001,0.2514380961469417,5.028761922938834e-05
0.17400000000000002,0.2464592882620086,4.929185765240172e-05
0.17500000000000002,0.241579067378548,4.8315813475709605e-05
0.176,0.2367954813431361,4.7359096268627224e-05
0.177,0.23210661665757654,4.642132333151531e-05
0.178,0.22751059771347615,4.5502119542695234e-05
0.179,0.22300558604197623,4.460111720839525e-05
0.18,0.21858977957834055,4.3717955915668116e-05
0.181,0.21426141194110548,4.28522823882211e-05
0.182,0.21001875172550377,4.2003750345100754e-05
0.183,0.20586010181087963,4.1172020362175926e-05
0.184,0.20178379868181778,4.035675973636356e-05
0.185,0.1977882117627152,3.955764235254304e-05
0.186,0.193871742765529,3.8774348553105796e-05
0.187,0.19003282505044006,3.8006565010088014e-05
0.188,0.18626992299917608,3.725398459983522e-05
0.189,0.18258153140074385,3.651630628014877e-05
0.19,0.1789661748493248,3.5793234969864964e-05
0.191,0.17542240715409296,3.5084481430818596e-05
0.192,0.17194881076071938,3.438976215214388e-05
0.193,0.16854399618433147,3.3708799236866295e-05
0.194,0.16520660145370053,3.304132029074011e-05
0.195,0.16193529156643513,3.238705831328703e-05
0.196,0.1587287579549623,3.174575159099246e-05
0.197,0.15558571796308313,3.1117143592616625e-05
0.198,0.1525049143328931,3.050098286657862e-05
0.199,0.14948511470186218,2.9897022940372436e-05
0.2,0.14652511110987343,2.9305022221974686e-05
0.201,0.14362371951602293,2.8724743903204588e-05
0.202,0.14077977932498714,2.8155955864997428e-05
0.203,0.13799215292277023,2.7598430584554048e-05
0.20400000000000001,0.13525972522164223,2.7051945044328447e-05
0.20500000000000002,0.13258140321409004,2.6516280642818007e-05
0.20600000000000002,0.12995611553559897,2.5991223107119794e-05
0.20700000000000002,0.12738281203609358,2.5476562407218718e-05
0.20800000000000002,0.12486046335986264,2.497209267197253e-05
0.209,0.12238806053380415,2.447761210676083e-05
0.21,0.11996461456382174,2.399292291276435e-05
0.211,0.11758915603921427,2.3517831207842856e-05
0.212,0.11526073474489891,2.3052146948979785e-05
0.213,0.11297841928131169,2.2595683856262338e-05
0.214,0.1107412966918361,2.2148259338367223e-05
0.215,0.10854847209760747,2.1709694419521494e-05
0.216,0.10639906833955023,2.1279813667910048e-05
0.217,0.10429222562750189,2.085844512550038e-05
0.218,0.10222710119628618,2.0445420239257236e-05
0.219,0.10020286896859508,2.004057379371902e-05
0.22,0.09821871922454758,1.9643743844909518e-05
0.221,0.0962738582777902,1.925477165555804e-05
0.222,0.09436750815801258,1.8873501631602515e-05
0.223,0.09249890629974829,1.8499781259949658e-05
0.224,0.09066730523733918,1.8133461047467837e-05
0.225,0.08887197230593845,1.7774394461187692e-05
0.226,0.0871121893484356,1.7422437869687124e-05
0.227,0.0853872524281834,1.707745048563668e-05
0.228,0.08369647154741443,1.6739294309482885e-05
0.229,0.08203917037123218,1.6407834074246438e-05
0.23,0.08041468595706869,1.6082937191413738e-05
0.231,0.07882236848949806,1.576447369789961e-05
0.232,0.07726158102030221,1.5452316204060444e-05
0.233,0.07573169921368259,1.5146339842736518e-05
0.234,0.07423211109651795,1.484642221930359e-05
0.23500000000000001,0.07276221681356652,1.4552443362713305e-05
0.23600000000000002,0.07132142838751643,1.4264285677503286e-05
0.23700000000000002,0.06990916948378632,1.3981833896757265e-05
0.23800000000000002,0.06852487517998448,1.3704975035996898e-05
0.23900000000000002,0.06716799173993176,1.3433598347986353e-05
0.24,0.06583797639216024,1.316759527843205e-05
0.241,0.06453429711279697,1.2906859422559395e-05
0.242,0.06325643241274753,1.2651286482549507e-05
0.243,0.06200387112909359,1.2400774225818718e-05
0.244,0.060776112220620536,1.2155222444124108e-05
0.245,0.059572664567394754,1.1914532913478952e-05
0.246,0.05839304677430866,1.1678609354861732e-05
0.247,0.05723678697851668,1.1447357395703338e-05
0.248,0.0561034226606834,1.1220684532136679e-05
0.249,0.05499250045997004,1.0998500091994009e-05
0.25,0.053903575992683736,1.0780715198536748e-05
0.251,0.05283621367451849,1.0567242734903699e-05
0.252,0.05178998654631524,1.0357997309263049e-05
0.253,0.05076447610327293,1.0152895220654585e-05
0.254,0.04975927212754058,9.951854425508117e-06
0.255,0.0487739725241251,9.754794504825022e-06
0.256,0.04780818316004754,9.561636632009509e-06
0.257,0.04686151770668498,9.372303541336996e-06
0.258,0.04593359748523362,9.186719497046724e-06
0.259,0.04502405131523252,9.004810263046505e-06
0.26,0.04413251536608617,8.826503073217236e-06
0.261,0.04325863301152768,8.651726602305537e-06
0.262,0.04240205468696322,8.480410937392643e-06
0.263,0.04156243774964185,8.31248754992837e-06
0.264,0.04073944634159352,8.147889268318705e-06
0.265,0.039932751255281736,7.986550251056348e-06
0.266,0.039142029801915806,7.828405960383162e-06
0.267,0.03836696568237137,7.673393136474275e-06
0.268,0.03760724886066621,7.521449772133242e-06
0.269,0.036862575439942015,7.372515087988403e-06
0.27,0.03613264754090133,7.226529508180266e-06
0.271,0.03541717318265209,7.0834346365304185e-06
0.272,0.03471586616591116,6.943173233182232e-06
0.273,0.034028445958521,6.805689191704201e-06
0.274,0.03335463758323289,6.670927516646579e-06
0.275,0.03269417150771253,6.538834301542507e-06
0.276,0.032046783536723335,6.409356707344668e-06
0.277,0.031412214706444994,6.282442941288999e-06
0.278,0.030790211180884316,6.1580422361768635e-06
0.279,0.030180524150337642,6.0361048300675285e-06
0.28,0.029582909731863432,5.916581946372687e-06
0.281,0.028997128871726046,5.7994257743452096e-06
0.28200000000000003,0.028422947249770868,5.684589449954174e-06
0.28300000000000003,0.027860135185693306,5.572027037138662e-06
0.28400000000000003,0.027308467547163418,5.461693509432684e-06
0.28500000000000003,0.026767723659770176,5.3535447319540355e-06
0.28600000000000003,0.02623768721874856,5.247537443749712e-06
0.28700000000000003,0.02571814620245496,5.143629240490992e-06
0.28800000000000003,0.025208892787555507,5.041778557511102e-06
0.289,0.024709723265894174,4.941944653178835e-06
0.29,0.024220437963006543,4.844087592601309e-06
0.291,0.023740841158247573,4.748168231649515e-06
0.292,0.023270741006500693,4.654148201300139e-06
0.293,0.022809949461437076,4.561989892287415e-06
0.294,0.02235828220029477,4.471656440058955e-06
0.295,0.021915558550146964,4.383111710029393e-06
0.296,0.02148160141563058,4.296320283126116e-06
0.297,0.021056237208105604,4.211247441621121e-06
0.298,0.02063929577621746,4.127859155243492e-06
0.299,0.020230610337834062,4.046122067566813e-06
0.3,0.019830017413330885,3.966003482666177e-06
0.301,0.01943735676019678,3.8874713520393564e-06
0.302,0.019052471308934983,3.810494261786997e-06
0.303,0.01867520710023308,3.7350414200466166e-06
0.304,0.01830541322337737,3.6610826446754746e-06
0.305,0.017942941755886427,3.5885883511772857e-06
0.306,0.017587647704340265,3.517529540868053e-06
0.307,0.01723938894638092,3.447877789276184e-06
0.308,0.016898026173861727,3.3796052347723458e-06
0.309,0.016563422837122085,3.312684567424417e-06
0.31,0.016235445090365886,3.2470890180731773e-06
0.311,0.015913961738121308,3.1827923476242617e-06
0.312,0.015598844182760979,3.119768836552196e-06
0.313,0.015289966373061101,3.0579932746122203e-06
0.314,0.0149872047537794,2.9974409507558803e-06
0.315,0.014690438216231257,2.9380876432462516e-06
0.316,0.014399548049844741,2.8799096099689483e-06
0.317,0.014114417894674684,2.822883578934937e-06
0.318,0.013834933694857257,2.766986738971452e-06
0.319,0.013560983652986004,2.712196730597201e-06
0.32,0.013292458185391483,2.658491637078297e-06
0.321,0.013029249878306245,2.605849975661249e-06
0.322,0.01277125344489799,2.554250688979598e-06
0.323,0.012518365683153333,2.5036731366306667e-06
0.324,0.012270485434595715,2.454097086919143e-06
0.325,0.012027513543820579,2.405502708764116e-06
0.326,0.011789352818831969,2.3578705637663937e-06
0.327,0.011555907992164346,2.3111815984328694e-06
0.328,0.011327085682774426,2.265417136554885e-06
0.329,0.011102794358687431,2.2205588717374866e-06
0.33,0.010882944300383151,2.17658886007663e-06
0.331,0.010667447564906875,2.133489512981375e-06
0.332,0.0104562179506911,2.0912435901382205e-06
0.333,0.01024917096307369,2.049834192614738e-06
0.334,0.010046223780498955,2.009244756099791e-06
0.335,0.009847295221387848,1.9694590442775698e-06
0.336,0.009652305711664323,1.9304611423328647e-06
0.337,0.009461177252924582,1.8922354505849164e-06
0.338,0.009273833391236731,1.8547666782473464e-06
0.339,0.009090199186558127,1.8180398373116255e-06
0.34,0.008910201182758426,1.7820402365516854e-06
0.341,0.008733767378236086,1.7467534756472173e-06
0.342,0.008560827197116835,1.7121654394233672e-06
0.343,0.008391311461022306,1.6782622922044612e-06
0.34400000000000003,0.008225152361397838,1.6450304722795678e-06
0.34500000000000003,0.008062283432388084,1.6124566864776167e-06
0.34600000000000003,0.007902639524249836,1.5805279048499672e-06
0.34700000000000003,0.007746156777291214,1.5492313554582428e-06
0.34800000000000003,0.007592772596326982,1.5185545192653964e-06
0.34900000000000003,0.007442425625639592,1.4884851251279184e-06
0.35000000000000003,0.00729505572443613,1.459011144887226e-06
0.35100000000000003,0.007150603942791141,1.4301207885582283e-06
0.352,0.00700901249806594,1.401802499613188e-06
0.353,0.006870224751794698,1.3740449503589396e-06
0.354,0.006734185187028398,1.3468370374056796e-06
0.355,0.006600839386127237,1.3201678772254475e-06
0.356,0.006470134008992897,1.2940268017985796e-06
0.357,0.006342016771731753,1.2684033543463506e-06
0.358,0.006216436425740658,1.2432872851481316e-06
0.359,0.006093342737206778,1.2186685474413556e-06
0.36,0.005972686467013439,1.1945372934026878e-06
0.361,0.005854419351043782,1.1708838702087566e-06
0.362,0.005738494080874513,1.1476988161749028e-06
0.363,0.005624864284851863,1.1249728569703726e-06
0.364,0.005513484509542349,1.1026969019084699e-06
0.365,0.005404310201550755,1.0808620403101511e-06
0.366,0.0052972976896982155,1.0594595379396431e-06
0.367,0.005192404167553129,1.038480833510626e-06
0.368,0.005089587676308046,1.017917535261609e-06
0.369,0.004988807087995556,9.977614175991112e-07
0.37,0.004890022089036583,9.780044178073167e-07
0.371,0.004793193164114385,9.58638632822877e-07
0.372,0.00469828158036793,9.396563160735861e-07
0.373,0.004605249371898209,9.210498743796418e-07
0.374,0.004514059324581395,9.02811864916279e-07
0.375,0.004424674961182669,8.849349922365338e-07
0.376,0.004337060526764872,8.674121053529745e-07
0.377,0.0042511809743860235,8.502361948772047e-07
0.378,0.004167001951080101,8.334003902160203e-07
0.379,0.004084489784115374,8.168979568230749e-07
0.38,0.004003611467524887,8.007222935049773e-07
0.381,0.003924334648903604,7.848669297807208e-07
0.382,0.003846627616467046,7.693255232934092e-07
0.383,0.003770459286366123,7.540918572732247e-07
0.384,0.0036957991902532104,7.391598380506421e-07
0.385,0.0036226174630943756,7.245234926188752e-07
0.386,0.003550884831222992,7.101769662445984e-07
0.387,0.003480572600629857,6.961145201259714e-07
0.388,0.0034116526454852306,6.823305290970462e-07
0.389,0.0033440973968881034,6.688194793776207e-07
0.39,0.0032778798318382945,6.55575966367659e-07
0.391,0.0032129734624268646,6.42594692485373e-07
0.392,0.0031493523252406263,6.298704650481252e-07
0.393,0.003086990970976405,6.17398194195281e-07
0.394,0.003025864454261006,6.051728908522013e-07
0.395,0.0029659483236727058,5.931896647345412e-07
0.396,0.0029072186119603826,5.814437223920766e-07
0.397,0.0028496518264562723,5.699303652912545e-07
0.398,0.0027932249396786114,5.586449879357223e-07
0.399,0.002737915380120315,5.47583076024063e-07
0.4,0.002683701023220095,5.36740204644019e-07
0.401,0.0026305601825123196,5.261120365024639e-07
0.402,0.0025784716009521528,5.156943201904306e-07
0.403,0.002527414442412442,5.054828884824884e-07
0.404,0.00247736828334901,4.95473656669802e-07
0.405,0.002428313104630934,4.856626209261869e-07
0.406,0.0023802292835326507,4.7604585670653017e-07
0.40700000000000003,0.0023330975858845897,4.6661951717691795e-07
0.40800000000000003,0.0022868991583792696,4.5737983167585395e-07
0.40900000000000003,0.002241615521029696,4.4832310420593924e-07
0.41000000000000003,0.0021972285597771403,4.3944571195542806e-07
0.41100000000000003,0.0021537205192452627,4.3074410384905255e-07
0.41200000000000003,0.0021110739956377435,4.222147991275487e-07
0.41300000000000003,0.002069271929776508,4.1385438595530164e-07
0.41400000000000003,0.002028297600277843,4.0565952005556864e-07
0.41500000000000004,0.001988134616863615,3.97626923372723e-07
0.41600000000000004,0.0019487669138049503,3.8975338276099006e-07
0.417,0.0019101787434957131,3.8203574869914267e-07
0.418,0.0018723546701532635,3.7447093403065274e-07
0.419,0.001835279563643937,3.670559127287874e-07
0.42,0.0017989385934307888,3.597877186861578e-07
0.421,0.0017633172226411771,3.5266344452823546e-07
0.422,0.0017284012022518351,3.4568024045036703e-07
0.423,0.0016941765653890504,3.388353130778101e-07
0.424,0.0016606296217417432,3.3212592434834863e-07
0.425,0.0016277469520851533,3.255493904170307e-07
0.426,0.0015955154029129825,3.191030805825965e-07
0.427,0.0015639220811757993,3.1278441623515986e-07
0.428,0.0015329543491236588,3.0659086982473176e-07
0.429,0.001502599819250829,3.005199638501658e-07
0.43,0.0014728463493406336,2.9456926986812673e-07
0.431,0.0014436820376083875,2.887364075216775e-07
0.432,0.001415095217940535,2.83019043588107e-07
